League,Date,Time,Round,Home,Away,Class_Home,Class_Away,FT_Odd_H,FT_Odd_D,FT_Odd_A,HT_Odd_Over05,HT_Odd_Under05,FT_Odd_Over15,FT_Odd_Under15,FT_Odd_Over25,FT_Odd_Under25,FT_Odd_Over35,FT_Odd_Under35,FT_Odd_BTTS_Yes,FT_Odd_BTTS_No,p_H,p_D,p_A,CV_HDA,P_expt_H,P_expt_A,Media_Saldo_Golos_H_HT,CV_Saldo_Golos_H_HT,Media_Saldo_Golos_H_FT,CV_Saldo_Golos_H_FT,PPJ_H,CV_PPJ_H,Power_Ranking_HT_H,CV_Power_Ranking_HT_H,Power_Ranking_FT_H,CV_Power_Ranking_FT_H,Average_Goals_Scored_by_Home_Teams,Average_Goals_Conceded_by_Home_Teams,Media_Total_1HT_H,CV_Media_Total_1HT_H,Media_Total_2HT_H,CV_Media_Total_2HT_H,Media_Geral_GM_H,Media_Geral_GS_H,Media_GM_H_6j,Media_GS_H_6j,Media_primeiro_gol_home,Media_primeiro_gol_home_sofrido,Porc_Marcou_Primeiro_Golo_H,Porc_Marcou_Primeiro_Golo_H_1P,Porc_Sofreu_Primeiro_Golo_H,Porc_Sofreu_Primeiro_Golo_H_1P,media_chutes_home,media_chutes_por_gol_H,media_movel_chutes_por_gol_H,media_ataques_perigosos_por_gol_H,media_movel_ataques_perigosos_por_gol_H,media_cartoes_amarelos_H,media_movel_media_cartoes_amarelos_H,media_cartoes_vermelhos_H,media_movel_media_cartoes_vermelhos_H,Media_FT_Corners_H_MAR,CV_Corners_H_MAR,Media_FT_Corners_H_SFR,CV_Corners_H_SFR,Media_VG_H,CV_VG_H,Media_CG_H,CV_CG_H,Porc_Over05HT_Home,Porc_Over15HT_Home,Porc_Under05HT_Home,Porc_Over15FT_Home,Porc_Over25FT_Home,Porc_BTTS_Home,Porc_Home_Win,0x0_Home,1x0_Home,1x1_Home,0x1_Home,2x0_Home,2x1_Home,2x2_Home,0x2_Home,1x2_Home,3x0_Home,3x1_Home,3x2_Home,3x3_Home,0x3_Home,1x3_Home,2x3_Home,Goleada_Home,O_qualquer_Empate_Home,Media_Saldo_Golos_A_HT,CV_Saldo_Golos_A_HT,Media_Saldo_Golos_A_FT,CV_Saldo_Golos_A_FT,PPJ_A,CV_PPJ_A,Power_Ranking_HT_A,CV_Power_Ranking_HT_A,Power_Ranking_FT_A,CV_Power_Ranking_FT_A,Average_Goals_Scored_by_Away_Teams,Average Goals Conceded by Away Teams,Media_Total_1HT_A,CV_Media_Total_1HT_A,Media_Total_2HT_A,CV_Media_Total_2HT_A,Media_Geral_GM_A,Media_Geral_GS_A,Media_GM_A_6j,Media_GS_A_6j,Media_primeiro_gol_away,Media_primeiro_gol_away_sofrido,Porc_Marcou_Primeiro_Golo_A,Porc_Marcou_Primeiro_Golo_A_1P,Porc_Sofreu_Primeiro_Golo_A,Porc_Sofreu_Primeiro_Golo_A_1P,media_chutes_away,media_chutes_por_gol_A,media_movel_chutes_por_gol_A,media_ataques_perigosos_por_gol_A,media_movel_ataques_perigosos_por_gol_A,media_cartoes_amarelos_A,media_movel_media_cartoes_amarelos_A,media_cartoes_vermelhos_A,media_movel_media_cartoes_vermelhos_A,Media_FT_Corners_A_MAR,CV_Corners_A_MAR,Media_FT_Corners_A_SFR,CV_Corners_A_SFR,Media_VG_A,CV_VG_A,Media_CG_A,CV_CG_A,Porc_Over05HT_Away,Porc_Over15HT_Away,Porc_Under05HT_Away,Porc_Over15FT_Away,Porc_Over25FT_Away,Porc_BTTS_Away,Porc_Away_Win,0x0_Away,1x0_Away,1x1_Away,0x1_Away,2x0_Away,2x1_Away,2x2_Away,0x2_Away,1x2_Away,3x0_Away,3x1_Away,3x2_Away,3x3_Away,0x3_Away,1x3_Away,2x3_Away,Goleada_Away,O_qualquer_Empate_Away
JAMAICA - PRIMEIRA LIGA,2023-12-21,21:00,RONDA 2,Cavalier,Tivoli,8,3,2.1853126591392,3.6494721407624637,3.7259580838323356,1.4,2.73,1.3,3.08,1.97,1.77,3.34,1.26,1.78,1.99,0.4576004242770014,0.27401223010598885,0.2683873456170096,0.26370031001210453,1.6468135029369932,1.0791742669570177,0.67,0.41,1.0,0.31,2.17,0.15,2.33,0.28,2.67,0.3,1.25,1.2,1.0,0.27,1.33,0.18,1.39,0.82,1.83,0.83,27.33,38.67,66.67,66.67,33.33,16.67,0.0,0.0,0.0,0.0,0.0,1.8,1.8,0.09,0.09,0.0,,0.0,,0.46,0.46,3.9,0.44,100.0,33.33,0.0,83.33,33.33,50.0,66.67,10.0,20.0,10.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,-0.33,-0.57,-0.5,-1.22,0.83,0.46,0.0,1.0,-1.17,-1.05,1.2,1.25,0.83,0.24,1.83,0.2,1.21,1.47,1.67,2.17,27.4,28.6,16.67,16.67,50.0,33.33,0.0,0.0,0.0,0.0,0.0,1.8,1.8,0.09,0.09,0.0,,0.0,,0.85,0.64,7.97,0.64,83.33,83.33,16.67,83.33,83.33,83.33,16.67,10.0,0.0,0.0,10.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,10.0,0.0,0.0,0.0
JAMAICA - PRIMEIRA LIGA,2023-12-21,21:00,RONDA 2,Dunbeholden,Humble Lions,7,9,2.304905516319908,3.692218315242317,3.386354076109818,1.35,2.94,1.24,3.48,1.81,1.92,2.93,1.33,1.77,2.0,0.43385726352750226,0.2708398893618431,0.29530284711065474,0.21533793648658345,1.57241167994435,1.1567484306938074,0.17,1.05,0.67,0.61,2.17,0.15,1.17,0.43,2.33,0.37,1.25,1.2,0.67,0.26,1.83,0.28,1.72,1.42,1.83,1.17,36.6,51.83,50.0,33.33,16.67,0.0,0.0,0.0,0.0,0.0,0.0,1.8,1.8,0.09,0.09,0.0,,0.0,,0.56,0.75,4.97,0.68,66.67,33.33,33.33,100.0,66.67,83.33,66.67,0.0,0.0,10.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,10.0,30.0,0.0,0.33,0.94,-0.17,-3.67,1.5,0.13,1.67,0.29,0.83,0.74,1.2,1.25,1.0,0.23,1.17,0.2,1.06,1.29,1.33,1.5,31.4,23.5,33.33,33.33,33.33,33.33,0.0,0.0,0.0,0.0,0.0,1.8,1.8,0.09,0.09,0.0,,0.0,,0.52,0.77,4.46,0.74,83.33,50.0,16.67,66.67,50.0,66.67,33.33,20.0,20.0,10.0,10.0,0.0,0.0,10.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
JAMAICA - PRIMEIRA LIGA,2023-12-21,21:00,RONDA 2,Portmore,Lime Hall Academy,5,13,1.3175265501884208,5.716540816933231,15.135222353404174,1.35,2.9,1.27,3.4,2.03,1.72,3.1,1.31,2.4,1.54,0.7589979874462408,0.17493096472570505,0.06607104782805405,0.91276092827488,2.4519249270644274,0.3731441082098672,0.67,0.52,0.83,0.33,2.0,0.19,1.33,0.3,2.83,0.23,1.25,1.2,1.0,0.29,0.83,0.15,1.0,0.94,1.5,0.67,38.4,46.25,16.67,16.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8,1.8,0.09,0.09,0.0,,0.0,,0.32,0.48,3.17,0.49,83.33,33.33,16.67,83.33,33.33,66.67,50.0,30.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,-0.5,-0.77,-1.0,-0.63,0.0,,-1.5,,-4.0,,1.2,1.25,,,,,0.33,1.0,0.5,1.5,,33.0,33.33,16.67,0.0,0.0,0.0,,,,,1.8,1.8,0.09,0.09,0.0,,0.0,,0.25,1.0,2.3,1.0,50.0,50.0,50.0,50.0,50.0,50.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
JAMAICA - PRIMEIRA LIGA,2023-12-21,21:00,RONDA 2,Treasure Beach,Mount Pleasant,12,1,7.4181293302540405,4.730559646539028,1.5295112021142352,1.32,3.1,1.21,3.74,1.72,2.03,2.71,1.38,1.88,1.88,0.1348048753911054,0.21139147896203359,0.6538036456468611,0.6862607060033971,0.6158061051353497,2.1728024159026167,0.0,,0.5,,2.0,,1.0,,2.5,,1.25,1.2,,,,,0.67,0.67,0.5,0.0,,,20.0,20.0,60.0,20.0,0.0,0.0,,0.0,,1.8,1.8,0.09,0.09,0.0,,0.0,,0.13,1.0,1.08,1.0,0.0,0.0,100.0,0.0,0.0,0.0,50.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33,1.53,0.67,1.01,2.17,0.16,2.0,0.52,2.33,0.37,1.2,1.25,0.67,0.19,2.0,0.16,1.76,1.08,1.83,1.17,57.5,49.0,33.33,33.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8,1.8,0.09,0.09,0.0,,0.0,,0.36,0.64,3.91,0.68,50.0,33.33,50.0,83.33,66.67,83.33,66.67,10.0,0.0,20.0,10.0,0.0,0.0,10.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,10.0,0.0
JAMAICA - PRIMEIRA LIGA,2023-12-21,21:00,RONDA 2,Vere United,Harbour View,6,11,3.008926080892608,3.471837785645317,2.634188034188034,1.43,2.62,1.33,2.91,2.09,1.68,3.65,1.22,1.81,1.95,0.332344488736442,0.28803189023824977,0.3796236210253082,0.1121961134987264,1.2850653564475758,1.4269027533141745,-0.83,-0.33,-1.83,-0.33,0.5,0.34,-1.5,-0.36,-2.83,-0.23,1.25,1.2,0.33,0.26,1.67,0.29,0.62,1.06,0.67,2.5,53.5,40.17,0.0,0.0,33.33,33.33,0.0,0.0,0.0,0.0,0.0,1.8,1.8,0.09,0.09,0.0,,0.0,,0.25,0.86,2.44,0.9,83.33,66.67,16.67,100.0,50.0,66.67,0.0,10.0,10.0,30.0,10.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,10.0,0.0,0.0,-0.17,-2.48,-0.83,-0.59,1.0,0.34,0.17,6.05,-1.83,-1.07,1.2,1.25,0.33,0.52,1.0,0.24,1.16,1.03,0.5,1.33,19.0,48.25,50.0,33.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8,1.8,0.09,0.09,0.0,,0.0,,0.15,1.69,1.31,1.67,66.67,16.67,33.33,66.67,16.67,0.0,33.33,10.0,10.0,0.0,10.0,0.0,0.0,0.0,20.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,10.0,0.0
ÍNDIA - SUPER LIGA,2023-12-22,15:30,-,East Bengal,Odisha FC,7,5,2.7195817490494294,3.6261089987325725,2.8049019607843135,1.36,3.0,1.25,3.75,1.83,1.98,3.0,1.36,1.62,2.2,0.3677036001398113,0.27577770010485847,0.35651869975533035,0.12286001024908147,1.3788885005242923,1.3453337993708494,0.33,0.38,0.33,0.58,1.17,0.2,1.33,0.38,0.0,1.0,1.54,1.38,0.67,0.13,1.67,0.12,1.08,1.69,1.5,1.17,38.75,45.5,66.67,66.67,0.0,0.0,3.67,,2.12,,33.17,1.8,1.8,0.09,0.09,4.0,0.38,6.0,0.52,0.51,1.04,3.93,1.05,66.67,33.33,33.33,83.33,66.67,50.0,33.33,10.0,10.0,0.0,0.0,0.0,0.0,0.0,20.0,30.0,0.0,0.0,0.0,10.0,0.0,0.0,20.0,10.0,0.0,0.33,2.38,-0.17,-7.9,1.17,0.06,1.67,0.78,-0.5,-1.41,1.38,1.54,0.67,0.35,2.17,0.1,1.2,2.04,1.5,1.67,27.4,54.4,16.67,16.67,16.67,16.67,3.67,0.0,2.77,0.0,28.6,1.8,1.8,0.09,0.09,6.0,0.22,5.83,0.96,0.53,0.62,4.24,0.61,83.33,16.67,16.67,83.33,66.67,66.67,33.33,0.0,10.0,0.0,10.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0
ÁFRICA DO SUL - PRIMEIRA LIGA,2023-12-22,16:00,RONDA 15,Sekhukhune,Stellenbosch,11,5,2.975615408383973,3.159562542720437,2.8782316313823157,1.6,2.25,1.56,2.33,2.6,1.41,5.25,1.11,2.14,1.67,0.33606493540208204,0.316499511080728,0.34743555351719013,0.038329303500387844,1.3246943172869743,1.3588061716322983,-0.17,-1.03,-0.17,-1.94,1.17,0.37,-0.17,-5.91,-0.5,-2.36,1.13,0.9,0.5,0.17,0.67,0.19,0.94,0.72,0.83,1.0,37.75,21.75,16.67,16.67,0.0,0.0,2.67,0.0,1.88,0.0,31.12,1.8,1.8,0.09,0.09,4.33,0.49,4.83,0.53,0.35,0.86,3.39,0.83,83.33,33.33,16.67,50.0,50.0,50.0,33.33,10.0,30.0,20.0,10.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.33,-1.79,0.0,1.0,1.33,0.14,-1.0,-0.75,0.33,2.48,0.9,1.13,0.33,0.42,0.67,0.21,1.0,0.95,0.83,0.83,32.67,33.0,0.0,0.0,50.0,50.0,4.0,1.67,2.67,24.67,33.89,1.8,1.8,0.09,0.09,4.67,0.41,3.33,0.71,0.35,1.17,3.62,1.16,66.67,16.67,33.33,33.33,33.33,33.33,33.33,30.0,20.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0
ÁFRICA DO SUL - PRIMEIRA LIGA,2023-12-22,18:30,RONDA 15,AmaZulu,Cape Town Spurs,10,16,1.6030660515954633,4.023803377830224,7.83243010443958,1.53,2.4,1.47,2.56,2.34,1.5,4.5,1.15,2.51,1.5,0.623804614291933,0.24852108965106418,0.12767429605700276,0.6337088953618472,2.119934932526863,0.6315439778220724,-0.33,-0.58,0.0,1.0,1.33,0.19,-0.67,-0.82,0.33,1.72,1.13,0.9,0.17,0.0,0.67,0.37,0.92,0.79,0.67,0.67,35.5,26.0,33.33,33.33,0.0,0.0,2.83,0.0,3.5,0.0,9.67,1.8,1.8,0.09,0.09,4.67,0.6,4.33,0.56,0.25,1.66,2.12,1.66,50.0,16.67,50.0,16.67,16.67,16.67,33.33,30.0,10.0,0.0,20.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.67,-0.9,-1.5,-0.55,0.0,,-1.67,-0.28,-4.5,-0.02,0.9,1.13,0.5,0.27,1.5,0.09,0.71,2.43,0.83,2.33,37.5,39.0,33.33,33.33,0.0,0.0,3.0,,2.75,,52.62,1.8,1.8,0.09,0.09,4.0,0.37,4.83,0.48,0.44,0.92,4.49,0.98,66.67,50.0,33.33,66.67,66.67,66.67,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PORTUGAL - LIGA PORTUGAL 2,2023-12-22,21:45,RONDA 15,CF Os Belenenses,Santa Clara,17,1,4.677063492063492,3.8885516331243815,1.8902681549910185,1.44,2.63,1.36,3.0,2.1,1.7,3.75,1.25,2.0,1.73,0.21380937028049754,0.2571651592540429,0.5290254704654597,0.41850799641739594,0.8985932700955355,1.8442415706504218,-0.5,-1.27,-1.0,-1.11,0.83,0.71,-0.83,-2.04,-1.67,-1.1,1.38,1.16,0.33,0.86,1.5,0.12,1.62,1.19,0.83,1.83,51.0,44.0,16.67,16.67,33.33,16.67,3.83,0.0,3.5,0.0,48.38,1.8,1.8,0.09,0.09,5.17,0.42,4.83,0.42,0.31,0.79,2.44,0.8,83.33,16.67,16.67,100.0,33.33,50.0,16.67,10.0,0.0,20.0,0.0,0.0,0.0,0.0,10.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,1.0,0.17,5.32,1.5,0.3,0.33,4.75,1.17,2.03,1.16,1.38,0.67,0.19,0.5,0.57,0.78,1.6,1.0,0.83,43.25,22.0,16.67,16.67,0.0,0.0,4.67,0.0,3.12,0.0,40.75,1.8,1.8,0.09,0.09,4.33,0.41,4.17,0.82,0.32,0.83,2.6,0.84,83.33,50.0,16.67,83.33,16.67,33.33,33.33,10.0,0.0,20.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0
ESCÓCIA - CAMPEONATO,2023-12-22,20:45,RONDA 17,Queen's Park,Dundee Utd,10,2,5.637096774193548,4.509677419354839,1.6642857142857141,1.29,3.5,1.17,4.5,1.6,2.3,2.5,1.5,1.67,2.1,0.17739628040057226,0.2217453505007153,0.6008583690987125,0.5700996943112883,0.7539341917024321,2.0243204577968528,-0.67,-0.37,-0.83,-0.51,0.83,0.41,-1.33,-0.52,-1.5,-0.54,1.41,1.25,0.33,0.58,2.17,0.06,1.5,1.57,1.33,2.17,40.75,42.4,16.67,16.67,33.33,16.67,4.5,0.0,2.62,0.0,35.38,1.8,1.8,0.09,0.09,8.5,0.42,3.0,0.92,0.44,0.77,3.39,0.75,66.67,16.67,33.33,83.33,66.67,66.67,16.67,10.0,10.0,0.0,10.0,0.0,0.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.83,0.92,2.5,0.51,2.67,0.2,2.17,0.44,5.17,0.43,1.25,1.41,1.0,0.27,1.67,0.17,1.13,1.29,2.67,0.17,43.0,,50.0,33.33,33.33,33.33,5.67,2.0,2.81,34.0,29.06,1.8,1.8,0.09,0.09,5.67,0.5,4.83,0.32,0.75,0.69,6.02,0.64,66.67,16.67,33.33,83.33,50.0,16.67,83.33,0.0,10.0,10.0,10.0,0.0,0.0,0.0,10.0,10.0,0.0,0.0,0.0,0.0,10.0,0.0,10.0,20.0,0.0
